评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:你有什么权利让我不在这里说呢？我也没阻止你不允许教育港台，你教育归你教育，那我还觉得你在网上故意引起骂战，并没有捍卫自己的领土，只是在说港台。,0,2020-01-29 20:26
https://weibo.cn//279110065,Reeta_曹,女,上海,987,189,423,回复@fqw的粉丝:你要是认真看的话，我有说，我不支持台独，也不支持内地这样讽刺，中立立场。,0,2020-01-29 20:22
https://weibo.cn//u/2504870791,小米是Vicky呀,女,台湾,51,448,196,回复@旅行旅行1:这样说话确定行吗？台湾zf不代表所有民众！,0,2020-01-29 20:21
https://weibo.cn//u/6570732895,等会就睡觉觉,女,广东,499,208,27,回复@CreaKor灬郁鱼鱼:埃博拉时我国有能力提供援助，现在是我们内部那么多人染病，物资什么的都紧缺，外部美国佬又搞事情，这个时候还是把自己内部解决好重要,0,2020-01-29 20:20
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:你是支持台独是吗姐妹？我特意往下翻看完了你的评论 我觉得你就是支持台独啊 问题很大啊姐妹 每个中国人都有权利去捍卫我们祖国的领土 台独是搞分裂 我们是捍卫属于自己的领土 能一样？？？？你别在这给我b这些没用的好吧,0,2020-01-29 20:14
https://weibo.cn//u/7343814215,京城bj,女,上海,1,49,3,回复@Pinky_Yaa:没必要 只针对当政者 不针对民众,0,2020-01-29 20:14
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:骂港独的那不叫骂 那叫教育哈 照您这个意思说就是台独狗港独狗指着你的鼻子骂你 搞分裂 你还笑嘻嘻的点头？你在跟我搞笑？台独蛆和港独蛆配和我们称为一个等级吗？你有搞清楚情况吗姐妹？你是来搞笑的吗？,0,2020-01-29 20:11
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@Reeta_曹:？人不犯我 我不犯人 人若犯我 我毕犯人 懂？,0,2020-01-29 20:09
https://weibo.cn//u/6192384494,AmandaH13,女,台湾,401,453,109,回复@DD67715:没有落井下石。就我所知，只是台湾官员依据他们接收到的情资情资，做出适当的防范而已。,0,2020-01-29 20:05
https://weibo.cn//u/6192384494,AmandaH13,女,台湾,401,453,109,回复@等待已久alis:我不知道台湾官员在下达这样指令的动机为何。我只是依据台湾新闻和当地情况所体现出来的来撇清一些错误资讯。无意挑起纷争。,0,2020-01-29 20:03
https://weibo.cn//u/7282889331,LFY93826,女,其他,59,348,4,咱大陆自己可以喔,0,2020-01-29 20:02
https://weibo.cn//u/7282889331,LFY93826,女,其他,59,348,4,他们自己可以,0,2020-01-29 20:00
https://weibo.cn//u/6765886800,我只是一只狗而已,女,其他,4,124,1,回复@AmandaH13:说台独是狗都侮辱了狗哦 它们这些蛆虫有什么资格称为人？？？你在搞笑吗？,0,2020-01-29 19:59
https://weibo.cn//271177344,荷尓蒙,男,北京,292,473,290000,你问我为什么这么闲 这个故事还要从一只蝙蝠说起 ,35702,2020-01-28 22:11
https://weibo.cn//u/1910928303,兔子食记,女,辽宁,6878,728,309900,发现白岩松每次的问题都一针见血，都是老百姓特别想问的,22632,2020-01-28 22:11
https://weibo.cn//yingkouxinwenge,营口新闻哥,男,辽宁,13524,315,153387,国内捐，海外捐，李兰娟，众捐纷来达通途,19658,2020-01-28 22:11
https://weibo.cn//u/5641399732,阿策Jotaro,男,浙江,29,394,532,回复@Miss不止Ume:我从小就是绍兴人   历任老师都说绍普,0,2020-01-30 09:18
https://weibo.cn//moiella,Miss不止Ume,女,浙江,2229,297,364,回复@阿策WJY:呐你是没感受过被老师操着一口绍普大骂特骂过,1,2020-01-30 09:11
https://weibo.cn//u/6382661127,molidor,女,安徽,64,97,18,3个月后才有疫苗,0,2020-01-30 09:05
https://weibo.cn//u/6528039682,淑怡Angelina,女,山东,2,33,61,回复@布鲁达克:这是逼我在家好好写论文么,0,2020-01-30 09:03
https://weibo.cn//u/5780999700,山島優美子,女,其他,870,774,380,回复@兔看美食:白岩松学长！！,0,2020-01-30 08:26
https://weibo.cn//u/5828223064,念念ree,女,陕西,843,355,123,回复@我名字好记haoji:反正我想表达的就是这种语气就是容易引人误会 不知道大家有什么好吵的,0,2020-01-30 08:14
https://weibo.cn//u/3830071923,一抹微蓝哦,男,其他,327,8,12,回复@王雅典:你搞清楚你的论点，这件事，国外做的好？你只要举例，国外遇到此类病时，能做到你说的那样，,0,2020-01-30 08:09
https://weibo.cn//u/2767123040,弦歌的竹子,女,安徽,1594,161,231,回复@ya_leader:我们这里现在出去都没什么人，除了超市药店蛋糕店基本没什么店开门的。,0,2020-01-30 08:09
https://weibo.cn//u/6611176500,孤单的温柔lovevivi,男,陕西,145,89,47,回复@飞舞的candy:别想那么多，就先在家待着，身体不适，在去医院,0,2020-01-30 07:54
https://weibo.cn//u/7053399752,後來00164,男,其他,2,95,1,我不信,0,2020-01-30 07:52
https://weibo.cn//u/7377611920,2020永远铭记的一年,男,其他,0,7,1,回复@大头可是我真的头大:SARS疫苗到现在也没有    彻底     的研究出来。注意：彻底。（害怕被骂）,0,2020-01-30 07:48
https://weibo.cn//u/7278007694,可爱多草,男,江苏,0,61,39,回复@布鲁达克:有女朋友真好 各种姿势开发,0,2020-01-30 07:28
https://weibo.cn//u/5128652622,飞舞的candy,女,其他,928,363,70,回复@孤单的温柔lovevivi:我不认识她。是我们市区的。我天天在家不出门…孕妇很恐慌的,0,2020-01-30 07:19
https://weibo.cn//u/6981811694,-Aohua最酷_,女,其他,71,276,74,回复@o小姚妹妹o:玛德,0,2020-01-30 07:17
https://weibo.cn//u/6152229670,jokkss,男,上海,3880,321,224,回复@兔看美食:其实以前还有个王志也很牛逼,0,2020-01-30 04:00
https://weibo.cn//u/3802285242,Lamnan_,男,广东,38,392,165,回复@山岚海风:要做临床实验,0,2020-01-30 02:57
https://weibo.cn//u/2438026010,Unclear-Li,男,其他,3632,1559,1174,回复@章dog的小胖:我是个垃圾，小学都没毕业，这疫苗要是能做出来我求您多打几次，可好了,0,2020-01-30 02:21
https://weibo.cn//u/6449502266,傲娇的猫u,女,湖南,24,80,261,回复@浅墨重彩:疫苗才不是给得病的人注射的呢。需要你去参加比较合适呢,0,2020-01-30 02:01
https://weibo.cn//u/6974238472,快贴我肚皮,女,其他,350,210,24,回复@阿阿阿阿阿狐:笑死我了天哪,0,2020-01-30 01:59
https://weibo.cn//u/5960454725,暴走小迷儿,女,浙江,2,218,8,回复@deammc:快别酸了,0,2020-01-30 01:51
https://weibo.cn//u/1005639261,浅墨重彩,女,青海,2727,680,174,回复@傲娇的猫u:那么多得病的不差我一个吧。,0,2020-01-30 01:51
https://weibo.cn//u/1005639261,浅墨重彩,女,青海,2727,680,174,回复@biubiubiu阿茶:你行你上,0,2020-01-30 01:50
https://weibo.cn//u/1005639261,浅墨重彩,女,青海,2727,680,174,回复@心叶子:哦哦 好的谢谢啊 我还以为就是签个字呢。。谢谢科普,0,2020-01-30 01:50
https://weibo.cn//u/6560502035,你好可爱的人,男,其他,94,129,11,回复@Unclear-Li:片面分析的拿出来你的知识否定疫苗的意义，不如你报名做做贡献？敢问您是哪方面的大拿？,0,2020-01-30 01:48
https://weibo.cn//u/5515332241,Mimosa--HH,女,浙江,56,144,57,回复@粗糙的小脑袋:绍兴呀,0,2020-01-30 01:47
https://weibo.cn//qianzi007,神二儿,男,山西,1759,17957,2001606,     举报             赞[0]         回复             2020-01-30 01:46:52 来自网页,0,2020-01-30 01:46
https://weibo.cn//u/5636321005,周遭也陆沉ww,女,其他,578,479,458,回复@大番薯的瘦高朋友:我说最少了吧,0,2020-01-30 01:44
https://weibo.cn//u/2306680584,魔羯女不腹黑,女,浙江,151,152,344,浙江一直像一个勤勤恳恳的二儿子，没有嫡子的珍爱没有小儿子般的宠爱，出事有事自己扛自己解决，其他表哥表弟堂哥堂弟有事他都第一个举手帮忙，哈哈哈哈哈，好形象，希望浙江可以一直以民为本，好好发展改革制造业等传统企业,0,2020-01-30 01:35
https://weibo.cn//u/5871904994,一咩咩都不敢多吃,女,广东,16,49,82,回复@现在ing-1019:我搞笑？我接受到的传播的消息就这样，反而你一上来就特别冲的，怎么？你很高贵？只有你接受的消息准确？,0,2020-01-30 01:22
https://weibo.cn//u/1751853425,QNMLGBDCNM,男,山西,300,426,444,回复@Quinn-Jiang:最算上市也不可能每个人都可以用到,0,2020-01-30 01:08
https://weibo.cn//u/7313454625,腾旅通智能手机pos,男,其他,2,18,3,回复@Asoka731:难听的，专业人士出来发声不该说普通话还说家乡话?,0,2020-01-30 01:05
https://weibo.cn//u/1900856677,Quinn-Jiang,男,江西,1868,560,499,回复@QNMLGBDCNM:一年还得是动物实验后人体实验以及各项审批一路绿灯才可能差不多,1,2020-01-30 01:01
https://weibo.cn//u/1868610351,霍双一,男,贵州,3688,299,612,开玩笑也总说折耳根护体哈，但其实能看到贵州政府的作为，各项工作真的蛮及时的，商场停业在保证超市正常运转但是几个人守在门口戴好口罩才能进去，酒吧麻将室ktv娱乐场所都关门。警察居委会挨家挨户发手册提示老人重视。或许其他城市也如此，我希望贵州一直坚持下去,16782,2020-01-29 08:50
https://weibo.cn//u/3942725493,Babyukina,女,海外,60,668,894,挺好,6622,2020-01-29 08:39
https://weibo.cn//275144778,焦雅杰给我多喝热水,男,海外,2,33,5637,贵州好样的，加油！,6144,2020-01-29 08:39
https://weibo.cn//u/2316282182,兔子妞妞_xianzi,女,贵州,221,154,79,回复@若克丽丽:你说瞒报，你算老几？,0,2020-01-29 20:45
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@兔子妞妞_xianzi:跟你这种满口喷粪的人有什么好说的，现在人人自危，我说大家别高兴太早，你反驳我就反驳我，说我脑子里有屎，呵呵，要是不会说话就不要出来丢人现眼,0,2020-01-29 20:45
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@兔子妞妞_xianzi:证据提供给你？你算老几？,0,2020-01-29 20:42
https://weibo.cn//u/2316282182,兔子妞妞_xianzi,女,贵州,221,154,79,回复@若克丽丽:你说瞒报，那就请把证据拿出来，别只知道拿个键盘出来张牙舞爪,0,2020-01-29 20:36
https://weibo.cn//u/6292193661,D剑客06045,男,其他,7,81,3,十四天的潜伏期、你品你细品,1,2020-01-29 20:29
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@星星是星河里的光:我只知道我身边的情况并且举报了,0,2020-01-29 20:25
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@兔子妞妞_xianzi:你嘴巴里装的也是,0,2020-01-29 20:25
https://weibo.cn//u/6058807841,若克丽丽,女,上海,13,222,45,回复@没烦恼魏同学:我就是贵州的，我说什么，你没有键盘吗？！,0,2020-01-29 20:24
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:有了路，就可以发展经济，适合贵州的发展方向是旅游，旅游就得有特色。所以才大力宣传少数民族。并不是只有少数民族贫穷，贫穷不是谁的错，谁又甘愿贫穷。所以希望你别太看不起穷人。,0,2020-01-29 20:21
https://weibo.cn//u/1294847477,阳光色的橙橙,女,其他,441,134,281,贵州一定要坚持住啊！,0,2020-01-29 20:20
https://weibo.cn//u/5813062896,小一于熙,女,贵州,163,118,140,回复@成年人陈年人:别再说折耳根了，再说它就要涨价了哈哈哈哈哈哈哈哈哈哈,0,2020-01-29 20:19
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:贵阳和遵义是贵州发展最好的城市没错。但是贵阳是因为在贵州的中心，而且是省会，所以经济才好，以前是路不好，为了方便管理和通知，才选做省会的。遵义因为历史和地理原因，让他繁华。 还有一个问题，贵州不止有苗族，他包含少数民族特别多，而且比较杂乱，随着交通的发展，弥补了贵州路不好的问题，,0,2020-01-29 20:18
https://weibo.cn//u/2406708434,喂你一口甜甜啦,女,其他,108,425,602,回复@往南的花未开:而且我舅舅他们医院还隔离了30多个疑似,0,2020-01-29 20:13
https://weibo.cn//u/1305567034,进击的大象君,女,北京,220,242,1107,回复@孤独的白兔不爱吃胡萝卜:,0,2020-01-29 19:58
https://weibo.cn//u/5813062896,小一于熙,女,贵州,163,118,140,回复@cjy的小mada 的表态:刚刚刷到视频，“黔灵山的猴子有专门的人喂”，好久没出门的人慕了,0,2020-01-29 19:55
https://weibo.cn//u/6632610307,噗嗤阿哈阿嚏,女,其他,1421,548,37,回复@轩轩轩妹纸:都差不多的嘛,0,2020-01-29 19:53
https://weibo.cn//u/5621837895,石子旁边的可乐,女,北京,18770,1237,209,回复@桑桑桑桑倩:,0,2020-01-29 19:48
https://weibo.cn//u/6701401809,为什么每次昵称都不能用,女,河北,29,361,26,回复@赤子丹心w:无1无靠遍地飘0,0,2020-01-29 19:47
https://weibo.cn//u/1732945035,唿喇喇,女,贵州,1450,200,425,回复@苏芙蕾初九的时光:不知道这些人的心理，我们都匀这边外省归来的，社区都打电话要求自己在家隔离观察！街上都没什么人了，公交只保留了一班必要的，其他全停,0,2020-01-29 19:44
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:你的意思是看不起贫穷的人咯嘛。,0,2020-01-29 19:43
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:我就搞不懂你这种人什么思想，穷怎么了，穷是我一个人的错吗，你很富有吗，,0,2020-01-29 19:42
https://weibo.cn//u/5054988371,深睡蔚蓝人,男,贵州,3,121,14,回复@YUANZOUGAOFEI_sun:没有读过，就你一个人是研究生,0,2020-01-29 19:39
https://weibo.cn//u/1564063217,旺仔星星特别旺,女,海外,2404,581,293,回复@贺_DD四次元:群发个短信多省事 哼 宝宝没被贵阳宠爱不开心了,0,2020-01-29 19:37
https://weibo.cn//u/6735276467,聆子叶21yyyy,女,其他,250,508,32,挺住贵州,0,2020-01-29 19:25
https://weibo.cn//u/1732945035,唿喇喇,女,贵州,1450,200,425,: 作为贵州人， 真的很骄傲，我们政府真的做得很好，及时采取了行动，大数据进行排查，外省归来和接触过疫区人员都进行了居家隔离！棒棒的👍 乡镇也是有宣传车喊话的,0,2020-01-29 19:25
https://weibo.cn//cctvxinwen,央视新闻,男,北京,138745,2712,116087046,【,874,2020-01-29 09:55
https://weibo.cn//u/1950838410,伊妹儿楚,女,浙江,432,138,107,这明明是政治操作，还一堆理解的,15261,2020-01-29 07:45
https://weibo.cn//yixinyan,纸扎铺老板娘,女,山西,278,275,128014,我们考虑的是抵抗疫情，他们考虑的是抵抗中国。果然是人道主义的美国,11752,2020-01-29 07:43
https://weibo.cn//liangwanba,英梨梨,男,上海,140,184,45,很正常，可以理解,0,2020-01-29 19:57
https://weibo.cn//u/5609049468,我太喜欢吃肉啦-,女,其他,64,92,100,回复@每天都想喝奶茶:那你有意思吗 在这叭叭啥,0,2020-01-29 19:48
https://weibo.cn//u/1987602395,Mystic0514,女,四川,4725,429,247,那在美的中国留学生担心父母在中国得病，想回家了，那怎么办呢~有考虑过他们的感受吗,0,2020-01-29 19:33
https://weibo.cn//u/2319055027,我是五块钱两捆的呲花,女,天津,541,296,158,回复@我是两块钱一捆的呲花:说的是呢,0,2020-01-29 19:32
https://weibo.cn//u/3061300747,月光之下的猫,女,山东,24,86,109,回复@SumireIro:说实话 这句话没毛病 平民谈政治,0,2020-01-29 19:26
https://weibo.cn//u/5876806830,此用户已有人,男,新疆,309,9,20,回复@XeLLoEs:笑死我了,0,2020-01-29 19:12
https://weibo.cn//u/5947393863,顾潇涯_Elvis,男,海外,4976,562,244,回复@minus-fafa:我哭了,0,2020-01-29 19:02
https://weibo.cn//u/6217301349,向阳via,女,其他,11,106,383,回复@老铁配鸡架:自己不会找吗？？呵呵,0,2020-01-29 18:59
https://weibo.cn//u/7310858506,不要命涨停,男,其他,41,38,2,回复@愚人节20100310:因为这次损失太大，一时来气了。。明白。。谢谢教养。应该心平气和的。,0,2020-01-29 18:51
https://weibo.cn//u/6049277507,大空和雨,男,其他,6,14,17,回复@柠檬叶小子:书没读过几本张嘴就知道骂人？,0,2020-01-29 18:48
https://weibo.cn//u/6049277507,大空和雨,男,其他,6,14,17,回复@柠檬叶小子:建议您了解下什么是军国思想，什么是纳粹，什么是hong卫兵，然后再来跟我说话,0,2020-01-29 18:47
https://weibo.cn//u/1403620061,游山玩水8888,男,浙江,4288,3707,286,哦,0,2020-01-29 18:47
https://weibo.cn//u/5104941639,每天都想喝奶茶,女,浙江,14983,127,227,回复@我太喜欢吃肉啦-:用扒拉吗？我还以为小学生，点进去一看居然成年了，而且居然还是个活人。评论里说这种话的基本号都是几年前才登陆过。,0,2020-01-29 18:43
https://weibo.cn//u/2478238371,啦啦小板栗,男,吉林,75,95,2,回复@小夫子nm:那时好像它们说用专机撤离美国人...再有这么说来，武汉的野生动物和它们也有联系啊...,0,2020-01-29 18:43
https://weibo.cn//u/6132402535,Buaoye_,男,海外,5,16,13,回复@苏世独Li横而不liu:我只是觉得是自己嘴欠。要不吃不就什么事情都没有了？,0,2020-01-29 18:14
https://weibo.cn//u/7296504946,HomeTree_Su,女,其他,20,173,46,美国这一波操作很厉害，有分析说这次疫情爆发美国有参与？因为这样一来，中国无论协议还是实际都需要大量购买美国农产品，得利者是美国。另外，交通发达如今，得病者99%以上都是华人。,0,2020-01-29 18:12
https://weibo.cn//u/5872315997,一只减肥梦,女,其他,89,268,42,回复@BabyCoyote:我模糊什么概念了？,0,2020-01-29 18:06
https://weibo.cn//u/5872315997,一只减肥梦,女,其他,89,268,42,回复@卫_卫大叔:关键在于前边指责别人过度，后边自己就撤了,0,2020-01-29 18:02
https://weibo.cn//u/6375180762,minibb的秘密,女,福建,16,313,31,回复@风驰电掣大韵韵摩托:这么多替美国说话的，都是美帝国主义打入我们国家内部奸细？,0,2020-01-29 18:00
https://weibo.cn//u/6857183164,我喜欢安生,男,其他,2567,3168,41,回复@伊妹儿楚:w我说的是郑州这个城市 我不喜欢。我又没有说郑州人不好？明白？,0,2020-01-29 18:00
https://weibo.cn//lovezzzforever,HeyMaN33333,女,广东,1478,487,1082,这病毒会不会感染你们美国人心里没点数？,0,2020-01-29 17:58
https://weibo.cn//u/2139466430,东风导弹即是真理,男,其他,446,99,467,回复@金拱门粉丝小高:坐等美股明天崩盘1000点。。。,0,2020-01-29 17:52
https://weibo.cn//u/5362501121,金拱门粉丝小高,女,海外,208,405,520,回复@美美大猫猫:同胞为同胞 世界经济观上看 全部取消 中国经济会崩盘的,0,2020-01-29 17:50
https://weibo.cn//u/1789434387,黄思洲啊,男,上海,642,243,224,回复@伊妹儿楚:一堆年龄不到20的 在支持美国？？？b,1,2020-01-29 17:45
https://weibo.cn//u/6468195121,琴鹰是我,女,其他,3466,1553,607,有人说 去年一度松懈让某些人钻了空子 军运会上有问题大家想一想是真的吗,0,2020-01-29 17:38
https://weibo.cn//u/7075536012,少年古城在搬砖,男,其他,139,638,1196,现在来看，美国取不取消航班现在不是第一位的，制造恐慌掌握这次疫情的国际舆论话语权才是第一位的！先说取消，然后再说暂不取消，舆论的话语权就握在手里了，然后再一点点根据节奏放消息引导国际舆论，从而对世卫组织和各国形成越来越大的政治压力！这是一场战争！国际舆论战！,1,2020-01-29 17:37
https://weibo.cn//u/6681045540,忽来哈哈,男,其他,106,725,159,回复@关于祥子20101471:九年义务教育你白上了。,0,2020-01-29 17:32
https://weibo.cn//u/6132402535,Buaoye_,男,海外,5,16,13,回复@苏世独Li横而不liu:就中国有点什么事儿就都是阴谋论了呗，就不能是我们自己的错了呗,0,2020-01-29 17:27
https://weibo.cn//u/6641067325,天天天天加油努力,男,浙江,267,300,110,回复@顺风王祖贤:能说出这句话 你很不错！,0,2020-01-29 17:21
https://weibo.cn//u/2669215803,糯米丸子小公主丶,女,浙江,174,358,419,看浙江的新闻发布会了吗，求助的时候还问了一句“可以说吗”，我们浙江有多卑微,47129,2020-01-29 09:10
https://weibo.cn//u/3571645702,LunannaWeiiii,女,浙江,35,268,1033,浙江这么多！！,16123,2020-01-29 08:46
https://weibo.cn//u/5756278900,说你nn,女,浙江,104,684,188,回复@lan_米兔:北京的热搜似乎没咋降过，一看，感觉很正常了,0,2020-01-30 02:47
https://weibo.cn//u/6444192223,guiter公主,女,其他,0,65,1,回复@仓鼠家没有余粮了:我特么还有第二批，浙江是不要了吗，都没人管，自救还被骂，物资都没有,0,2020-01-30 02:45
https://weibo.cn//u/5756278900,说你nn,女,浙江,104,684,188,回复@埃老老:停哪，中国政府和国外的政府决定的吧?,0,2020-01-30 02:42
https://weibo.cn//u/6377809270,你们十全十美的翔哥就是我,男,其他,0,137,13,回复@我是已已你快走走:这个就是上升到国家的事了。毕竟是新加坡没有提前，然后健康的和疑似的弄一起了。相信疫情结束后 会给杭州班机一个交代的,0,2020-01-30 02:40
https://weibo.cn//u/5838248733,momo酱de好物志,女,浙江,83,297,220,浙江给我挺住！,0,2020-01-30 02:30
https://weibo.cn//u/7297308155,冒泡冰汽水儿,女,浙江,9675,311,13,回复@粽子的宝宝P3ng:谢谢谢谢！！,0,2020-01-30 02:27
https://weibo.cn//u/6058217623,世间有很多美丽,男,浙江,328,19,39,回复@百香果的气息:就算是造谣，我也选择相信,0,2020-01-30 02:18
https://weibo.cn//u/2961631471,洪图图_,女,浙江,158,453,366,回复@糯米丸子小公主丶:可以给我浙江上热搜吗,0,2020-01-30 02:15
https://weibo.cn//u/2961631471,洪图图_,女,浙江,158,453,366,新浪，可以上热搜吗。可以吗,0,2020-01-30 02:14
https://weibo.cn//u/5344683628,槿上霜,女,浙江,66,43,50,回复@Mussiyy:每次都问靠搜浙江,0,2020-01-30 02:04
